course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Civil Engineering,MCK,"Musaliar College of Engineering and Technology, Pathanamthitta",S,63833,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MCT,"Mohandas College of Engineering and Technology, Thiruvananthapuram",S,63039,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MEA,"M E A Engineering College, Vengoor",S,38765,-,40689,-,-,-,-,-,-,-,-,-,-,FW:28321,5
Civil Engineering,MEE,"MES College of Engineering and Technology, Ernakulam",S,64748,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MEK,"MES Institute of Technology and Management, Kollam",S,60684,66988,62755,-,-,-,-,-,-,-,-,-,-,FW:37955,6
Civil Engineering,MES,"M E S College of Engineering, Kuttippuram",S,34711,49555,36793,-,-,56064,62050,-,-,-,64408,-,-,FW:26788,6
Civil Engineering,MET,"Mets School of Engineering, Thrissur",S,51917,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MGP,"Saintgits College of Engineering, Kottayam",S,41869,51736,55536,60155,-,-,44737,57308,-,-,63391,-,-,FW:32653,6
Civil Engineering,MHP,"ACE College Of Engineering, Thiruvananthapuram",S,62483,-,66127,66174,-,-,66915,-,-,-,-,-,-,,6
Civil Engineering,MLM,"Mangalam College of Engineering, Kottayam",S,63123,-,-,-,-,-,-,-,-,-,-,-,-,FW:51009,6
Civil Engineering,MLT,"Malabar Institute of Technology, Kannur",S,64238,-,64566,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MUS,"Muslim Association College of Engineering, Thiruvananthapuram",S,67102,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MUT,"Muthoot Institute of Technology and Science,Ernakulam",S,27192,31207,28500,45784,53628,-,29954,-,-,55123,64587,-,44728,FW:24211,6
Civil Engineering,MZC,"Mount Zion College of Engineering, Pathanamthitta",S,51742,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,NIE,"Nirmala College of Engineering Technology and Management, Thirissur",S,63879,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,PRC,"Providence College of Engineering, Chengannur",S,64538,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,RCE,"Royal College of Engineering and Technology, Thrissur",S,65011,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,21260,21930,24903,33773,-,-,23974,-,-,-,58142,63399,-,FW:18008,6
Civil Engineering,RIE,"Rajadhani Institute of Engineering and Technology, Thiruvananthapuram",S,47928,49452,48286,63291,-,-,-,-,-,-,-,-,-,FW:47643,6
Civil Engineering,SBC,"Sree Buddha College of Engineering, Alappuzha",S,62798,-,66040,-,-,-,66177,-,-,-,-,-,-,,6
Civil Engineering,SCM,"SCMS School of Engineering and Technology, Ernakulam",S,41162,51843,43285,-,-,-,61652,-,-,-,62128,-,-,,6
Civil Engineering,SHR,"Sahrdaya College of Engineering and Technology, Thrissur",S,41119,51137,46538,-,-,-,-,-,-,-,-,-,-,FW:20628,6
Civil Engineering,SIT,"Sarabhai Institute of Science and Technology, Thiruvananthapuram",S,65198,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SJC,"St Josephs College of Engineering and Technology, Palai",S,40803,-,45517,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNC,"Sree Narayana Guru College of Engineering and Technology, Kannur",S,58634,63198,60721,-,-,60256,59933,-,-,-,-,-,-,,7
Civil Engineering,SNG,"Sree Narayana Gurukulam College of Engineering, Ernakulam",S,65972,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNM,"SNM Institute of Management and Technology, Ernakulam",S,56498,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNP,"Sree Narayana Institute of Technology, Adoor",S,58003,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SPT,"Sreepathy Institute of Management and Technology, Palakkad",S,57171,-,-,-,-,-,58535,-,-,-,-,-,-,,7
Civil Engineering,STC,"St Thomas Colllege of Engineering and Technology, Alappuzha",S,66929,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STI,"St. Thomas Institute For Science and Technology, Thiruvananthapuram",S,67256,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STM,"St.Thomas College of Engineering and Technology,Kannur",S,60104,60901,61585,-,-,-,-,-,-,-,-,-,-,FW:49063,7
Civil Engineering,TCE,"TOMS College of Engineering,Kottayam",S,65141,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,TCT,"Trinity College of Engineering, Thiruvananthapuram",S,65402,-,-,-,-,-,-,67115,-,-,-,-,-,FW:32713,7
Civil Engineering,TJE,"Thejus Engineering College, Thrissur",S,55844,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,TKI,"T K M Institute of Technology, Kollam",S,33603,39904,34765,-,47700,-,-,-,-,-,56664,-,-,FW:20008,7
Civil Engineering,TOC,"Toc H Institute of Science and Technology, Ernakulam",S,61153,-,62335,-,-,-,-,-,-,-,-,-,-,FW:18145,7
Civil Engineering,UKP,"UKF College of Engineering and Technology, Kollam",S,60572,66128,-,-,-,-,-,-,-,-,-,63950,-,FW:30036,7
Civil Engineering,UNT,"Universal Engineering College, Thrissur",S,62522,-,-,-,-,-,-,-,-,-,-,-,-,FW:49420,7
Civil Engineering,VAK,"Vidya Academy of Science and Technology, Thiruvananthapuram",S,57520,63964,57718,-,-,-,60347,-,-,-,67237,66517,62476,FW:24511,7
Civil Engineering,VAS,"Vidya Academy of Science and Technology, Thrissur",S,50068,55116,55555,-,57750,63002,50146,-,-,-,66867,-,60234,FW:25427,8
Civil Engineering,VIT,"VISAT Engineering College, Ernakulam",S,61306,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,VJC,"Viswajyothi College of Engineering and Technology, Ernakulam",S,51148,-,65547,-,-,-,58010,-,-,-,-,-,-,,8
Civil Engineering,VKE,"Valia Koonambaikulathamma College of Engineering and Technology, Parippally",S,65034,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,VML,"Vimal Jyothi Engineering College, Kannur",S,38322,44560,44204,-,-,-,-,-,67193,-,-,-,-,FW:17515,8
Civil Engineering,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,61427,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,VVT,"Veda Vyasa Institute of Technology, Malappuram.",S,59507,-,-,-,-,-,-,-,-,-,-,-,-,FW:64433,8
Civil Engineering,YCE,"Younus College of Engineering and Technology, Kollam",S,60679,-,-,-,-,-,-,-,-,-,65521,-,-,RP:65118,8
Computer Science and Design,KKE,"Government Engineering College, Kozhikkode",G,8401,9283,9483,27482,32850,10026,9757,-,-,34281,34033,60199,18379,FW:4959,8
Computer Science and Design,FIT,"Federal Institute of Science and Technology, Ernakulam",S,12345,14967,16653,18344,19889,23354,16701,-,-,-,62129,-,22753,FW:12609,8
Computer Science and Design,VJC,"Viswajyothi College of Engineering and Technology, Ernakulam",S,30971,38434,39400,-,-,-,40755,-,-,-,-,-,-,FW:28665,8
Computer Science and Design,VML,"Vimal Jyothi Engineering College, Kannur",S,44951,48876,48887,-,-,-,-,58929,-,-,-,-,-,FW:35212,8
Chemical Engineering,KKE,"Government Engineering College, Kozhikkode",G,8328,14121,12350,24460,29621,11858,16836,28193,48612,-,47823,65515,23149,FW:9302,8
Chemical Engineering,TCR,"Government Engineering College, Thrissur",G,6693,8857,7889,19582,29322,9200,8610,7383,27239,29230,25585,-,14679,"CC:28, FW:3307",9
Chemical Engineering,TKM,"T K M College of Engineering, Kollam",G,8114,9403,8539,14779,37078,9881,11656,15254,-,-,35756,-,-,"FW:6933, RP:8437",9
Chemical Engineering,AJC,"Amal Jyothi College of Engineering, Kottayam",S,23534,28848,30936,49439,41072,49263,29551,-,-,-,66572,-,-,FW:17464,9
Chemical Engineering,MGP,"Saintgits College of Engineering, Kottayam",S,25793,33216,29792,46159,-,-,26787,-,-,-,65072,-,-,FW:18642,9
Chemical Engineering,MLM,"Mangalam College of Engineering, Kottayam",S,40959,45513,49895,-,-,-,-,-,-,-,64068,-,-,FW:23132,9
Chemical Engineering,TCE,"TOMS College of Engineering,Kottayam",S,54726,67223,62800,63676,57693,-,54929,-,-,-,-,-,-,,9
Computer Science & Engineering (Data Science),MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,4569,5721,5244,8683,15047,5366,5429,16292,24971,14132,39416,62398,-,FW:2990,9
Computer Science & Engineering (Data Science),ADR,"College of Engineering, Adoor",N,21161,23815,23887,39459,49236,23171,24473,-,-,-,62715,-,27573,"FW:14848, MG:39155",9
Computer Science & Engineering (Data Science),ASI,"Adi Shankara Institute of Engineering and Technology, Ernakulam",S,21512,21989,22755,32785,-,-,21847,-,-,44097,-,-,28083,FW:14666,9
Computer Science & Engineering (Data Science),BJK,"Bishop Jerome Institute, Kollam",S,47549,62982,50437,57302,-,-,52006,-,-,-,-,-,-,FW:37862,9
Computer Science & Engineering (Data Science),CCE,"Christ College of Engineering, Thrissur",S,18101,21653,21998,22709,-,-,19379,-,26188,-,65735,-,-,FW:16456,9
Computer Science & Engineering (Data Science),CEN,"College of Engineering and Technology, Payyanur",S,48561,58084,51000,-,61995,51456,49494,-,-,-,-,-,50780,FW:32797,9
Computer Science & Engineering (Data Science),ECE,"ICCS College of Engineering and Management, Thrissur",S,66195,-,-,-,-,-,-,-,-,-,-,-,-,FW:55901,9
Computer Science & Engineering (Data Science),HGW,"Holy Grace Academy of Engineering, Thrissur",S,64891,67209,-,-,-,-,-,-,-,-,-,-,-,,9
Computer Science & Engineering (Data Science),IES,"I E S College of Engineering, Thrissur",S,58559,59126,59408,-,-,-,-,-,-,-,-,-,-,FW:45086,9
Computer Science & Engineering (Data Science),JCE,"Jawaharlal College of Engineering and Technology, Palakkad",S,36957,40907,46833,-,-,47600,48917,-,-,-,-,-,58903,,9
Computer Science & Engineering (Data Science),MBI,"Mar Baselios Institute of Technology and Science, Ernakulam",S,40895,42176,41718,42448,62361,49570,49899,-,-,-,61951,-,-,FW:30235,9
Computer Science & Engineering (Data Science),SCM,"SCMS School of Engineering and Technology, Ernakulam",S,21217,22787,23160,31217,43589,34462,26685,-,-,-,60546,-,34065,FW:20581,10
Computer Science & Engineering (Data Science),SNP,"Sree Narayana Institute of Technology, Adoor",S,55876,56240,65753,-,-,-,-,-,-,-,-,-,62981,FW:36396,10
Computer Science & Engineering (Data Science),STI,"St. Thomas Institute For Science and Technology, Thiruvananthapuram",S,52085,52101,56234,-,-,-,-,-,-,-,65713,-,-,FW:36844,10
Computer Science & Engineering (Data Science),STM,"St.Thomas College of Engineering and Technology,Kannur",S,49206,50798,56147,-,-,-,50124,-,-,-,-,-,-,FW:43713,10
Computer Science & Engineering (Data Science),UKP,"UKF College of Engineering and Technology, Kollam",S,58083,60951,65202,-,-,-,59954,-,-,-,-,-,-,FW:35454,10
Computer Science & Engineering (Data Science),VIT,"VISAT Engineering College, Ernakulam",S,53610,65453,58065,-,-,-,-,-,-,-,-,-,-,FW:45848,10
Computer Science & Engineering (Data Science),VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,66644,-,-,-,-,-,-,-,-,-,-,-,-,,10
Computer Science & Engineering,IDK,"Government Engineering College, Idukki",G,-,11219,6633,29541,23021,12047,14241,24234,26829,34431,31854,50438,18851,FW:5834,10
Computer Science & Engineering,KNR,"Government College of Engineering, Kannur",G,3507,5042,5012,5921,11109,4742,5030,-,9582,-,21985,50027,7227,"FW:1361, PI:4",10
Computer Science & Engineering,KTE,"Government Rajiv Gandhi Institute of Technology, Kottayam",G,3100,3710,3771,4083,10654,4665,3533,6855,16566,10499,21157,53880,5809,"CC:31, FW:2513",10
Computer Science & Engineering,MAC,"Mar Athanasius College of Engineering, Kothamangalam",G,2149,2349,2515,3362,7067,4001,2327,5485,7537,-,15188,63785,-,"CC:40, FW:1813",10
Computer Science & Engineering,NSS,"N S S College of Engineering, Palakkad",G,3545,4682,4659,5464,12516,5821,4461,12124,10242,19760,22576,64387,6553,"FW:2695, XS:3741",10
Computer Science & Engineering,PKD,"Government Engineering College, Palakkad",G,3115,6345,5390,8831,12550,5871,6248,-,16596,26915,23842,48001,7683,"FW:4666, SD:12001",10
Computer Science & Engineering,TCR,"Government Engineering College, Thrissur",G,670,1109,907,2064,3970,1161,681,2756,4571,2603,9073,15092,1991,"CC:2, FW:817",10
Computer Science & Engineering,TKM,"T K M College of Engineering, Kollam",G,1487,2067,1766,2438,5453,2156,1745,4327,4754,8803,12416,65466,-,"CC:4, FW:1199, RP:6097",10
Computer Science & Engineering,TVE,"College of Engineering, Thiruvananthapuram",G,343,804,686,968,3882,860,662,1927,1288,1479,6410,14647,1629,"CC:1, FW:369",10
Computer Science & Engineering,WYD,"Government Engineering College, Wayanad",G,-,11851,5734,28086,32361,12208,13287,18364,-,41195,35717,56708,18599,"FW:5155, PT:17",10
Computer Science & Engineering,ADR,"College of Engineering, Adoor",N,15634,17977,17994,32153,30174,20315,20350,30790,44758,-,57296,-,22918,"FW:12741, MG:29305",11
Computer Science & Engineering,AEC,"College of Engineering of Aranmula, Pathanamthitta",N,34652,40097,37441,52235,66394,35936,40979,-,-,-,62139,-,57684,FW:25957,11
Computer Science & Engineering,CEA,"College of Engineering, Attingal",N,23904,26923,25081,43733,50746,30715,28565,27658,39219,51058,57293,-,36610,"FW:14404, MG:38686",11
Computer Science & Engineering,CEC,"College of Engineering, Cherthala",N,17646,19712,18931,21195,21536,22380,21797,51236,-,37313,37354,-,25191,"FW:13923, MG:31475",11
Computer Science & Engineering,CEK,"College of Engineering,Kottarakkara, Kollam",N,34560,39268,40694,50122,63621,40502,36058,40869,45385,-,66472,-,49043,"FW:26336, MG:49082",11
Computer Science & Engineering,CEM,"College of Engineering Muttathara, Thiruvananthapuram",N,24290,26579,27413,31664,35422,28528,26953,-,-,-,44190,67143,31668,FW:11284,11
Computer Science & Engineering,CHN,"College of Engineering,Chengannoor",N,8240,9835,9626,17551,17319,9756,11191,16028,23121,20661,38625,62164,14005,"FW:6925, MG:13804",11
Computer Science & Engineering,KGR,"College of Engineering Kidangoor, KOTTAYAM",N,20001,24800,22533,28066,43696,21814,26373,30512,40654,-,55933,67088,23488,"FW:13542, MG:31753",11
Computer Science & Engineering,KNP,"College of Engineering, Karunagappally, Kollam",N,24659,27017,26059,37223,45653,29040,28019,45406,60499,61025,59277,-,34022,"FW:16312, MG:43511",11
Computer Science & Engineering,KSD,"LBS College of Engineering, Kasaragod",N,16892,19797,18016,59870,36728,28456,17972,34338,21073,63196,62823,61559,29409,"FW:11473, MG:30692",11
Computer Science & Engineering,LBT,"LBS Institute of Technology for Women, Thiruvananthapuram",N,10389,13211,12346,23295,22700,20157,12762,17093,22275,17064,52185,-,18779,"FW:8397, MG:17192",11
Computer Science & Engineering,MDL,"Model Engineering College, Ernakulam",N,1217,2218,1914,2506,4806,2443,1791,4781,6336,5314,15739,33093,2839,"FW:1410, MG:2374",11
Computer Science & Engineering,MNR,"College of Engineering, Munnar",N,19334,22210,20162,33506,54708,30359,23181,-,-,-,51991,-,26639,"FW:10929, MG:34249",11
Computer Science & Engineering,PEC,"College of Engineering Pathanapuram, Kollam",N,30233,32059,31515,35434,58901,36654,32643,-,61502,-,59202,-,41695,FW:19070,11
Computer Science & Engineering,PJR,"College of Engineering Poonjar, Kottayam",N,32875,36199,34875,45460,60911,35558,42548,39406,-,-,65973,-,46855,"FW:19068, MG:46101",11
