course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Civil Engineering,TEC,"Travancore Engineering College, Kollam",S,64477,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,TJE,"Thejus Engineering College, Thrissur",S,55156,-,-,-,-,-,-,-,-,-,-,-,-,FW:43673,8
Civil Engineering,TKI,"T K M Institute of Technology, Kollam",S,31254,35977,35690,33228,-,33928,49692,-,-,-,61532,-,-,FW:14243,8
Civil Engineering,TOC,"Toc H Institute of Science and Technology, Ernakulam",S,59168,-,-,-,-,-,-,-,-,-,61638,-,-,FW:44819,8
Civil Engineering,UKP,"UKF College of Engineering and Technology, Kollam",S,65087,-,-,-,-,-,-,-,-,-,-,-,-,FW:48284,8
Civil Engineering,UNT,"Universal Engineering College, Thrissur",S,53403,-,-,-,-,-,-,-,-,-,-,-,-,FW:35113,8
Civil Engineering,VAK,"Vidya Academy of Science and Technology, Thiruvananthapuram",S,51569,61468,64800,-,-,59713,-,-,-,-,59405,-,-,FW:27906,8
Civil Engineering,VAS,"Vidya Academy of Science and Technology, Thrissur",S,56598,59792,63299,-,-,-,-,-,-,-,-,-,-,FW:32794,8
Civil Engineering,VIT,"VISAT Engineering College, Ernakulam",S,62855,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,VJC,"Viswajyothi College of Engineering and Technology, Ernakulam",S,54439,64857,57374,-,-,-,-,-,-,-,65334,-,-,,8
Civil Engineering,VKE,"Valia Koonambaikulathamma College of Engineering and Technology, Parippally",S,63905,-,-,-,-,-,-,-,-,-,-,-,-,FW:56382,8
Civil Engineering,VML,"Vimal Jyothi Engineering College, Kannur",S,49482,53229,57525,-,-,-,-,-,-,-,-,-,-,"FW:46907, XS:56077",8
Civil Engineering,VPE,"Mahaguru Institute of Technology, Mavelikkara, Alappuzha",S,63610,-,-,-,-,-,-,-,-,-,-,-,-,,8
Civil Engineering,YCE,"Younus College of Engineering and Technology, Kollam",S,59918,64185,64572,-,-,-,-,-,-,-,-,-,-,"FW:39877, MM:60951",8
Computer Science & Design,KKE,,G,8107,10575,8420,16070,14046,11227,10653,32180,-,-,34094,37486,17124,FW:5196,8
Computer Science & Design,FIT,,S,14391,17837,15963,20239,-,29858,19553,-,-,-,54811,-,23652,FW:11474,8
Computer Science & Design,VJC,,S,45193,46930,60950,-,-,59340,62761,-,-,-,-,-,-,"FW:33168, YQ:54331",8
Computer Science & Design,VML,"Vimal Jyothi Engineering College, Kannur",S,50986,64763,60401,-,-,-,-,-,-,-,-,-,-,FW:28282,9
Chemical Engineering,KKE,"Government Engineering College, Kozhikkode",G,7318,10834,9959,15145,24341,10256,10323,13995,38024,49693,36683,65352,15507,FW:6873,9
Chemical Engineering,TCR,"Govt. Engineering College,Thrissur.",G,6213,8287,7206,12673,15535,9013,7974,12283,21799,48843,27537,50506,11393,"CC:24, FW:3540",9
